ID,Language_ID,Analect,Label,Source,Comment
128,amele,F,,roberts-1987,"The forms given here in for the possessive paradigm are the ones used for alienable possession. ""Alienable possession is expressed by a possessive noun phrase (...) which comprises a possessed nominal preceded by a possessive postpositional phrase. The postposition is na 'of' and this can follow either a pronoun or a nominal if it is a name or kinship term"" (Roberts 1987: 171). The forms of the suffixes for inalienable possession depend on the grammatical class of the noun (ibid.: 172). ""inalienably possessed nouns, mainly kinship and body part terms, are suffixed for person and number of the possessor and, in the case of the kinship nouns, also for singular or plural number of the possessee."" (ibid.: 139)"
129,tetun-dili,F,,williams-van-klinken-et-al-2002,
130,torres-strait-creole,F,,shnukal-1988,
131,bayali,,,terrill-2002,
133,nabak,F,,fabian-et-al-1998,Another way of expressing possession is by adding a possessive suffix to the item possessed (see Fabian et al. 19988: 75). The possessive suffixes are not given here.
134,western-dani,,,barclay-2008,"""Possession is marked by adding pronominal prefixes to nouns. There are four different classes which vary according to the initial sound of the noun."" (Barclay 2008: 66)."
135,bunaq,F,,schapper-2009,"""Note that there is no 3rd singular personal pronoun; demonstratives are used in this role."" (Schapper 2009: 90). The animate form of the non-proximal demonstrative is used to track 3sg referents. It has been included here in the paradigm to fill all cells. 

The possessive pronouns given are for alienable possession. About inalienable possession: (Schapper 2009: 321) ""In Bunaq possessive relations of this [=inalienble] kind are denoted by compounding. The possessor of an inalienable possessor compound always precedes the possessum. Inalienable possessors can be realised in a variety of ways by prefixes on the possessum; six different classes are recognised on the basis of the inflectional options they show in the 3rd person (...). 1st persons and 2nd persons are predictable across classes."""
138,yagaria,F,,renck-1975,
141,wati-wati,F,,blake-et-al-2011,"""One of the features common to the earlier sources for many Victorian languages is the variety of pronominal forms. ... 1. Alternate forms for 1st and 2nd person singular pronouns; 2. The use of two different demonstratives as true pronominals, especially for the 3rd person; 3. The combination of demonstratives and pronominals for some non-singular constructions."" p174
The gaps fo O forms in the paradigm are due to gaps in data in the source."
142,moken,F,,veena-1980,
143,sunda,F,,van-syoc-1959,"The ordinary form of the pronouns is presented here. There are also ""high elevating"" and ""high humiliating"" forms."
144,eipo,,,heeschen-1998,"""Dual number is either expressed by adding betinye ""two"" to the plural number personal pronouns (...) or by co-ordinating one of the singular pronouns with the dual tense suffixes."" (Heeschen 1998: 148).

""The free personal pronouns rarely occur as object pronouns. (...) First of all, they co-occur with, and are replaced by, the set of object pronouns, which are non-final suffixes of the verb, and secondly, they are condensed structures, which onlly make sense if the proper object pronouns alon or the co-occurrence of the free pronouns and the proper object pronouns have established unequivocal reference."" (Heeschen 1998: 152)."
145,javanese,,,robson-1992,"The first form in the cell is the low register (Ngoko), the middle form is the middle register (Krama), and the third form in the cell is the high register (Krama Inggil)."
146,makassarese,,,jukes-2006,"While there are free, independent pronouns in the language, the pro- and enclitics are primarily used for argument reference."
147,madurese,F,,davies-2010,"There are a large number of pronouns in Madurese. The forms presented here are the most commonly used in the grammar. from p82 the full list is:
Everday speech:
1 səŋkɔʔ, əŋkɔʔ, abaʔ
2 baʔna, baʔən, baʔəŋ, kakə, sətʰa
3 abaʔana, abaʔəŋ, dibiʔna, dibiʔəŋ
Higher speech levels:
1 bula, gula, kaula, (ba)dan kaula, daləm, apdina, apdi daləm, bal-gəbbal daləm 
2 dika, diko, sampejan, panɟənnəŋŋan, padana, sampəjan daləm, aɟunan daləm, saɟunan daləm, aɟunan sampəjan, aɟunan panɟənnəŋŋan"
148,kombai,,,de-vries-1993,
149,kamoro,F,clean,drabbe-1953,"removed froms used ""Als men uitdrukkelijk wil aanduiden, dat het persoonlijk voornaamwoord het onderwerp in de zin is,""

Aslo, looks like I didn't duplicate this paradigm before editing. Sorry!"
150,wambon,,,de-vries-and-de-vries-wiersma-1992,
153,lampung,,,walker-1976,"There are two speech levels for the pronouns. The first one listed is the lower level, and the second one listed is the higher level. In the case of 1pl.incl the form is the same for both levels."
154,balinese,F,,barber-1977,
155,tagalog,F,,schachter-and-otanes-1972,"A, S, O not clear for lgs. with a Philippine type voice system.

I have chosen the genitive forms (non-suject) for A and O, and the nominative/ang forms for S (subject)"
156,malagasy-plateau,F,,griffiths-1854,Orthographically <y> is used for word final /i/ (sort of like English). I've written word final /i/ as <i>.
157,idaan,F,,goudswaard-2005,
158,rukai,,,li-1973,
159,atayal,F,,rau-1992,
160,bunun,F,,de-busser-2009,"Philippine type voice system.

S=""Focussed Agent""
A=""Neutral""
O=""Neutral"""
161,kala-lagaw-ya,F,,ford-and-ober-1991,
162,siraya,,,adelaar-2011,
163,paiwan,F,,egli-1990,"S=Fokus
A=Obliquus
O=Obliquus"
164,amis,F,,wu-2006,
165,taroko,F,,tsukida-2005,A and S forms are the direct form preceded by the nominative marker ka. O forms are the Oblique forms. p302
166,thao,F,,wang-2004,
167,bugis,F,,samsuri-1965,
170,makalero,,,huber-2011,"""The second person pronouns can neither be used to address people of higher status nor people of equal status if the speaker does not have a close relationship to them."" (Huber 2011: 220). ""The use of the third person pronouns is restricted to human referents."" (ibid.: 223)."
171,tainae,F,,carlson-1991,"""Personal pronouns in Tainae are of two main types, those tied in to the noun class system, and the set which is independent of noun class."" (Carlson 1991: 35). The first type is more common, and given below. Tainae has a masculine and a feminine set of pronouns, for all person/numbers. For all first and second persons, only the masculine forms are given below. Tainae has 11 noun classes (including feminine and masculine). The boxes for inanimate forms are not filled in below, as Carlson does not give any other forms for the 9 remaining noun classes than 2sg (ibid.: 26)."
172,biak,,,van-den-heuval-2006,
173,loniu,,,hamel-1985,
174,dehu,F,,tryon-1967,
175,satawalese,,,roddy-2007,
176,mafea,,,guerin-2008,
177,longgu,,,hill-1992,"The independet pronouns (free forms) are used for alienable possession, and suffixes are used for inalienable possession."
178,lovono,,,francois-2010,
179,tanema,F,,francois-2010,
180,teanu,F,,francois-2010,
181,tobati,F,,donohue-2002,
182,cebuano,F,,wolff-1965,
184,muna,,,van-den-berg-1989,
185,tukang-besi,,,donohue-1997,
186,kodeoha,,,mead-1998,
187,limilngan,,,harvey-2001,"Harvey (2001) notes that there is an accidental gap in the paradigm for this form, but postulates the form entered here.
Note also that for the possessive series, forms are given for Class II possessees, since the paradigm for Class I possessees is incomplete."
188,bunganditj,,,blake-2003,"""In Bunganditj there were free pronouns and bound pronouns. The free pronouns took case marking just like nouns, including ergative case marking when subject of a transitive verb. The free pronouns use for the subject of an intransitive predicate and the bound pronouns used for all subjects are displayed in Table 16."" p37 Based on this, the A forms have been entered as per the S forms plus ergative case marking.

Dual and plural O forms are not covered in the source."
189,warrnambool,F,,blake-barry-2003,The author found free possessive pronouns for only htree person number combinations (p37). A paradigm of clitics is also used to indicate possession. Because it is complete it has been included here rather than the free forms.
190,moskona,F,,gravelle-2010,
191,duna,F,,san-roque-2008,
192,yulparija,F,,burridge-1996,
193,gurindji,F,,mcconvell-1980,
195,menya,F,,whitehead-2004,"""The third person forms are rarely used, relative to the demonstrative pronouns introduced below. The third dual form qe, which is identical to and probably and (sic) extended use of the second dual, has never been observed in the unmarked form [i.e. the form for core arguments, without case markers attached] but is used in the emphatic forms"" (Whitehead 2004: 23)."
196,ngandi,,,heath-1978,
197,garrwa,F,,ilana-2012,
198,gaagudju,,,harvey-2002,"The source gives no special possessive series, but it appears that the base pronouns are simply juxtaposed (p. 368, ex. 7-193). There are special prefixes for kinship possessor (p. 170).
Unit augmented forms distinguish whether the augmenting unit is masculine or feminine. The feminine unit augmented form is given here, since the data presentation implies it is unmarked. For 1+2, the augmented rather than the unit augmented form is given for the plural."
199,sanskrit,F,,egenes-2006,
202,oksapmin,F,clean,loughnane-2009,"This analect (entered by Nick Evans, and subsequently edited by Owen) just gives the regular and possessive forms.

[Other coding decisions left as is]
""Pronouns most commonly occur in noun phrases which refer to higher animates."" (Loughnane 2009: 94).  As there is a distinction in the pronominal forms for third singular male and female, I have not filled in the neuter slot. Because there is no gender distinction for the third dual and plural, I (CvT) have filled in all the slots.

""In Oksapmin, the `alone' pronoun is used when you want to refer to the set of referents in question and that set alon, where it was expected that additional participants would have also participated in that same role in the action."" (Loughnane 2009: 94). The second form in each box of the paradigms is the `alone' form."
203,maklew,,,boelaars-1950,p. 19
204,yelmek,,,boelaars-1950,"p. 25. There are two possessive pronouns, one modifying subjects ('Set III'), one modifying objects ('Set IV'). The second appears to be the basic set plus an object marker -i; only the first set ('Set III') are given here."
206,aneityum,F,clean,lynch-2000,"Cleaned up paradigm, entered by NE & OE, with first formal variant of free pronouns only, and free variant only in case of free pronoun clitic variation"
207,abui,F,clean,kratochvil-2007,"Owen's ""cleaned up version"".
I've retained only the patient bound pronouns (for S and P). Charlotte is right in entering both patent and actor forms for S; the language works on an actor/undergoer basis. I've selected the inalienable forms for possessors. (Alienable forms are idenical except any form with /a/ has /e/ instead.

""The free pronouns serve to express or co-index Actor (A) arguments. (...) [T]he bound pronouns are prefixed to nouns and verbs. Bound pronouns are divided into three formally distinct sets. Pronominal prefixes are polysemous. They combine with verbs to express the Undergoer (U) arguments and with nouns to express possessors."" For an overview of the sets and their menings, see Kratochvíl (2007: 76--77). ""The single participant of the intransitive verb may be realized as the A or U argument."" (Kratochvíl 2007: 177), so that's why the S paradigms are filled with both the A and the O(/U) forms."
208,adang,,clean,haan-2001,"Owen's cleaned up version.

The pronominal prefixes mark inalienable possession (Haan 2001: 38) and the objects of some verbs. Other verbs use the accusative free pronouns (with -ri) for their objects (ibid.: 46). As for the free pronouns that mark (alienable) possession, ""[s]emantically, both types of genitive pronouns express possession. The difference, however, is that a genitive pronoun marked e, while expressing possession, also expresses emphasis or contrast. I shall call it a ‘contrastive’ genitive pronoun. A genitive pronoun marked ɔ does not express emphasis or contrast. Therefore I call it a ‘non-contrastive’ genitive pronoun."" (ibid.: 163)."
209,klon,,clean,baird-2008,"Owen's cleaned up version. Added dual A forms.

""Klon has an agentive system, whereby Actor S arguments pattern the same way as A arguments, and Undergoer S arguments pattern the same way as O arguments. There is a small set of verbs that may take either SA or SO arguments dependent on the perceived semantic role of a referent in a particular context"" (Baird 2008: 66)."
210,teiwa,,clean,klamer-2010,"Owen's cleaned up version. Removed long A and S forms (focus) retained short forms (topic). Only retained syllabic forms (used before C initial roots).

The paradigm below follows the following statement: ""The object prefixes have animate referents (humans or animals), the object pronouns may be used to refer to both animate and inanimate objects"" (Klamer 2010: 78). This does not entirely match, however, with Klamer's statement elsewhere: ""For third person referents, a free pronoun is used if it is inanimate. If it is animate, it is expressed with a verbal prefix, and an optional additional NP."" (ibid.: 166-167). The third person plural ""[i]'in and gi'in refer to a group of people outside the phyiscal and/or narrative context, translated as `elsewhere' here. In practice, the use of these pronouns typically implies that the speaker cannot see the referents because they are at a different location, or existed at a different time."" (ibid.: 79). ""Teiwa has a set of dual pronouns that can be used to encode subjects and to conjoin nominals."" (ibid.: 82). It seems, however, that the `plural' forms are generally used to refer to two participants, hence their presence in the `dual' boxes as well.  ""Teiwa has two pronouns that refer to third person referents that are inanimate: the pronouns i `it.place' refers to a location, and the pronoun in `it, thing' refers to an entity."" (ibid.: 85)."
211,fasu,F,clean,may-and-loeweke-1980,"Owen's cleaned up version. Removed first set of possessives (used for body parts)

The first of the possessive forms is used for body parts, the second one for everything else."
212,kobon,F,clean,davies-1981,"Owen's cleaned up version. Removed O forms that are also A and S forms, note that the other variants (i.e. yad/ad) are listed with no indication of eihter having a special use

""All pronominal forms except the object forms may function alone as a nominal or as an attributive element within a noun phrase. The object forms may only function as free personal pronouns."" (Davies 1981: 151)."
213,korowai,,clean,van-enk-and-de-vries-1997,"Owen's cleaned-up version.

Removed forms without final /p/ ""[...] which is often dropped, especially in fast speech."" (p.67)
Removed the independent possossevie pronouns.
Removed the ""[...] optional object forms of the personal pronouns."" )p.69)"
214,mauwake,,clean,berghall-2010,"Owen's cleaned up version.

Removed non-genitive possessive pronouns as ""[...]the main strategy for expressing the possessor in a NP is to use either the genitive pronoun or a possessive noun phrase."""
216,mian,,clean,fedden-2007,"Owen's cleaned up version.

Removed ""alone"" /l/ series. Removed bound forms. Used male forms for 2nd and 3rd person. Retained only male froms for 2nd person. Gender 1 = male, Gender 2 = female"
217,usan,,clean,reesink-1987,"Owen's cleaned up version. Removed question marks. Arbitrarily chose only the longer object prefixes listed on p.51 of Reesink (1984)

""Given the way plural inanimate objects are conceived of as singular, the third person plural object prefix could never refer to inanimate objects, and the third person singular does not have an explicit object prefix."" (Reesink 1987: 109) -- I assume that plural inanimate possessors are also referred to with a singular form (C vT).
Objects are marked by object prefixes on verbs. There is no 3sg object prefix and therefore ""The free third person singular pronoun may also fill the object position, but as such it is not a verbal prefix."" (p51)"
218,sentani,,clean,cowan-1965,"Owen's cleaned up version. Only retained set II forms (p.16) as the ohters have more specific uses

In a footnote, Cowan (1965: 16) writes ""I have included this ""inclusive"" form of the 1st p. du., pl., although it is not in general use and is probably a dialectal form adapted to this specialized end under Austronesian influence. (...) The seris II type of this pronoun (e) is put between brackets because I have never met it in actual usage, while my informants were divided in their opinions on the point.""

I hope I have interpreted Cowan (1965: 16) well as concerns the dəjɛ (etc) vs. the da (etc) series. The da series can be used with postpositions -- I do not know if they are obligatorily followed by postpositions when they are O."
219,meyah,,,gravelle-2004,
220,manikion,,,reesink-2002,
221,burmeso,,,donohue-2001,No 3sg or 3pl forms exist (except possessives). Dual category only exists in the 1st person.
222,isaka,,,donohue-and-san-roque-2004,"Tilde = nasalisation (which is a feature of the syllable). All pronouns have low tone.

There is an additional paradigm of unmarked pronouns that may occur in all syntactic slots that has not been provided here.

The nominative pronoun plus dative suffix may also be used as a possessive pronoun."
223,skou,,,donohue-2011,"Gender 1 = non-feminine, Gender 2 = feminine. All dual non-possessive forms also make a gender distinction; the non-feminine froms are given"
224,warapu,,,corris-2005,"Gender 1 = masculine, Gender 2 = feminine"
225,vanimo,,,ross-1980,
226,bukiyip,,,conrad-and-wogiga-1991,Possessives are followed by a noun-class sufix
227,mufian,,,conrad-et-al-1978,Possessives are followed by a noun-class suffix.
228,kombio,,,henry-1992,
229,kamasau,,,sanders-and-sanders-1996,
230,au,,,scorza-1985,"Possesive pronouns start with a consonant which agrees with the number and gender of the possessum. I've just given the stem. The consonants are:

k- masc/neut.sg
p- fem.sg
t- masc.dl
n- masc/fem.pl
m- neut.pl"
231,urim,,,hemmila-and-luoma-1987,
232,naasioi,,,onishi-2004,
233,koromira,,,rausch-1912,"Taken from Rausch, but informed by Onishi (2004). (i.e. 3rd person forms dropped; possessives are bound forms (Rausch has kana where I have a hyphen). Also Rausch missed the glottal stops in Naasioi, so it's likely he's missed them here as well."
234,terei,,,onishi-2004,"Demonstratives are used with the function of third person pronouns. Unfortunately, the forms are not provided in the source."
235,siwai,,,onishi-2004,
236,sibe,,,onishi-2004,
237,english,,,oed-2013,
238,rapoisi,,,muller-1954,
239,rotokas,,,firchow-1987,
240,abau,F,,lock-2011,
241,sepik-iwam,,,conrad-1993,"Only the roots are given in the article, but suffixes /a/ 'subject' and /ir/ 'oblique' (oblique includes possessive) are stated as existing and a search through the text shows the 'unexpeced forms' like sir (rather than siyir).

The 3dl forms aren't attested in the text and involve vowel sequences (to which strange things happen)"
242,mende,,,hoel-et-al-1994,2nd person masculine forms given (feminine forms also exist)
243,kwoma,,,kooyers-1974,"Kooyers gives long and short forms for the pronouns; with no statement on when to use either. I've put in the long forms. Because, they're listed first. And I can't find any examples of the short possessive forms.

Kooyers also gives two forms of the object suffix for pronouns -na and -n. I've arbitraily chosen the form -na on the assumption that the latter can be derived from the former, but not visa-versa.

Masculine 2nd person forms entered."
244,awtuw,,,feldman-1986,
245,kapriman,,,sumbuk-1999,It looks like the possessive pronouns have to have a suffix indicating the number of the possessum.
246,alamblak,,,bruce-1984,
247,hewa,,,cochran-1968,Non-singular possessive froms not given. The apostrophe (') indicates stress (not a glottal stop)
248,yessan-mayo,,,foreman-1974,
249,mehek,,,paulon-et-al-2002,"Can't determine possessive forms. All other languages of the family have dual, so it's surprising this one doesn't; could be a lack of data."
250,namia,,,feldpausch-and-feldpausch-1992,
251,yahadian,,,de-vries-2004,
252,puragi,,,de-vries-2004,
253,kokoda,,,de-vries-2004,Non-singular possessives not given. Possibly the same as the free pronouns.
254,mansim,F,,reesink-2002,
255,hatam,,,reesink-1999,
256,toaripi,F,,brown-1972,
257,orokolo,F,,brown-1972,"""The Orokolo dual subject forms show an extraordinary diversity, the second and third person having no less than five variants."""
258,fuyug,F,,bradshaw-2007,"The genetive clitic  =l has a variant form =le, which is ""often used after the third person pronoun"""
259,biangai,F,,dubert-and-dubert-1978,Free pronouns can't be used for object.
260,kunimaipa,,,geary-1977,
261,kaki-ae,,,clifton-1997,
262,kamula,,,routamaa-1994,The 1sg forms is transcribed /na:/ in the source where : is length.
263,kiwai-northeast,,,brown-2009,
264,kiwai-southern,,,ray-1907,"The 2sg objective has irregularly lost the initial /r/ (except in one dialect, Mawata). The non-singular forms are the same; it's only the singulars that change. 

There's some stuff I find surprising here, but (equally as surprising) I can't fault the source too much; what he describes also is attested in provided texts!"
265,koitabu,F,,dutton-1975,
266,wipim,,,dondorp-and-shim-1997,
267,meriam,,,piper-1989,
268,kalam,,,pawley-et-al-2000,"Here and for all other possessive cells, the choice of possessive pronoun depends on the grammatical relation of the head noun: if modifying a subject noun it takes the subject form, if modifying an object noun it takes the object form."
269,takia,,,ross-2014,"Two things that aren't shown in the paradigm are:
(a) the fact that in addition to the free pronoun, which syncretises A, S and O, there is verb agreement on an AS vs O basis
(b) the fact that there are two possessive constructions, one alienable/indirect built from Pron + PossBase + suffix, the other alienabl/indirect built from Pron +Possessum+ suffix. Only the first is shown in the paradigm, but an example illustrating the contrast is:

Direct: ŋai tama-g /I father-my/ 'my father'

Indirect: ŋai sa-g ab /I PCL-my house/ 'my house'

Still need to add in the other possessive forms"
270,waskia,,,ross-2014,
271,nakanai,,,johnston,
272,mandarin,,,hyslop-2014,
273,awiakay,,,hoenigman-2014,
274,hindi,,,hyslop-2014,"There are 3 sets of 2nd person pronouns which differ in terms of formality, aspect, register."
275,dzongkha,,,hyslop-2014,
276,kurtop,,,hyslop-2014,
277,lelepa,F,,lecrampe-2014,
278,lelepa,B,,lecrampe-2014,
281,ingush,F,,nichols-2011,Transcription system still needs tidying up; for the moment the romanisation system on p. 16ff is used pending addition of special phonetic symbols to entry keyboard
283,standard-arabic,F,,ryding-2005,"Please note, 'H' is used in place of the IPA symbol for the voicelss, pharyngeal fricative while ':' is used in place of the IPA length symbol. 
 
In addition, all entries in the paradigm do not decline for case except of the 3sgM O and Poss suffix, which may be followed by the indefinite case suffixes as described by Ryding (2005)."
284,chadian-spoken-arabic-nigerian,F,,owens-1993,"Free form O pronouns occur very rarely and only in written texts (Owens 1993:83). Given that Owens (1993) does not report observing these forms directly, bound forms are listed below. Additionally, although not directly reflected in his transliteration, coronal stops are stated by Owen to be dental and are written as such below (Owens 1993:19)."
286,ende,,,evans-2014,
287,dargwa-icari,F,,sumbatova-and-mutalov-2003,"According to Sumbatova and Mutalov (2003:36-7) a range of five demonstrative pronouns are used in place of third person personal pronouns which are absent in the language. Only one representative of these, 'it' meaning 'that/those (of the side or undifferentiated)' (Sumbatova and Mutalov 2003:37), is listed below. All forms listed are also given in the system of transcription adopted by Sumbatova and Mutalov (2003:2-8)."
288,turkish,,,goksel-and-kerslake-2005,
289,angolar,F,,lorenzino-1998,"The first person singular A, S and O pronoun listed is described as being in free variation with the forms /m, ŋ, ∅, am/ (Lorenzino 1998:144). Alternate forms for other pronouns are described in the notes for each entry. All possessive pronouns are formed through regular addition of the prefix /di-/, as such all patterns of variation observed in relation to the A, S and O forms also occur in the possessive forms (Lorenzino 1998:142-3). In addition to the forms listed below, the language also possesses an unmarked, impersonal pronoun /a/, meaning 'one, somebody', which can be used in both the singular and plural (Lorenzino 1998:150-5)."
290,persian-farsi-tehrani,,,mahootian-1997,"When functioning as possessives, the pronouns listed occur immediately following the possessed noun phrase in an 'ezafe' construction as described by Mahootian (1997)."
291,nigerian-pidgin,,,faraclas-1996,
292,moroccan-arabic,,,harrell-1962,"As noted in the comments to the relevant entries, the language possesses distinct second and third person masculine and feminine singular pronouns (Harrell 1962:134). In addition the second person, singular, gender neutral pronoun 'ntina' is also reported to occur (Harrell 1962:134). A gender distinction is not maintained among the other pronouns listed. however."
293,bantawa,F,,doornenbal-2009,
295,ndyuka,,,huttar-and-huttar-1994,"The language lacks special possessive pronouns, rather personal pronouns occur in the same pre- and post-nominal positions as full nouns and noun phrases indicating possession (Huttar and Huttar 1994:470). Note also that 'en' occurs as the 3sg pronoun in place of 'a' in cleft constructions, as complement of the copular and in emphatic contexts (Huttar and Huttar 1994:458-9). In addition, several regular phonological processes alter the form of many of the pronouns listed. The effects of these processes are described in the comments to each entry."
